Country Name,Country Code,year,Access to electricity (% of population),"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)",Cereal production (metric tons),Cereal yield (kg per hectare),CPIA gender equality rating (1=low to 6=high),Crop production index (2004-2006 = 100),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2004-2006 = 100),Forest area (% of land area),Forest area (sq. km),GDP per capita (current US$),Land area (sq. km),Land under cereal production (hectares),"Literacy rate, adult total (% of people ages 15 and above)",Livestock production index (2004-2006 = 100),Mineral rents (% of GDP),"Mortality rate, infant (per 1,000 live births)",Net migration,Permanent cropland (% of land area),"Population, total",Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
Afghanistan,AFG,1972,NA,NA,NA,58.27589375976473,380460,600,0.7585335018963337,72.75750828866018,6672.2927793690415,82.261191158813,2081.338109,33.93794175528275,1.7636667036657807,NA,NA,NA,12.115920718071257,0.6708384165669102,7910000,327,51.303,3950000,1006.9,NA,81.83,25.781,NA,NA,NA,NA,NA,67.2,NA,NA,135.31730831433026,652860,3923100,NA,53.05,0,193.4,-20000,0.20831418680881045,11791215,NA,NA,NA,10327925,87.59,2.271386879246847,NA,652860
Afghanistan,AFG,1973,NA,NA,NA,58.278957203688385,380480,585,0.7395701643489254,74.01685096102126,6960.20418686002,82.79045705920058,2214.151378,26.893054387819827,3.4737254271074303,NA,NA,NA,12.115920718071257,0.6532351283920844,7910000,NA,51.184,4270000,1279.6,NA,88.97,25.222,NA,NA,NA,NA,NA,72.46,NA,NA,143.1446495000806,652860,3337000,NA,58.33,0,189.4,NA,0.21137763073246943,12108963,NA,NA,NA,10557926,87.191,2.202546576823482,NA,652860
Afghanistan,AFG,1974,NA,NA,NA,58.278957203688385,380480,570,0.720606826801517,73.86947918289536,7378.031872152161,82.51576111161535,2423.750469,31.475726682624362,3.112819870193845,NA,NA,NA,12.115920718071257,0.6372377235064992,7910000,NA,51.058,4351000,1301.9,NA,92.54,24.658,NA,NA,NA,NA,NA,74.88,NA,NA,173.6537646391694,652860,3342000,NA,60.87,0,185.5,NA,0.21137763073246943,12412950,NA,NA,NA,10772082,86.781,2.0080929774976677,NA,652860
Afghanistan,AFG,1975,NA,NA,NA,58.278957203688385,380480,550,0.695322376738306,74.79648462186292,7836.12850789409,83.34999066183047,2628.627826,33.67265309247948,1.5450444161077583,NA,NA,NA,12.115920718071257,0.6233667161577283,7910000,NA,50.93,4481000,1316.4,NA,95.24,24.087,NA,NA,NA,NA,NA,77.06,NA,NA,186.51089714020122,652860,3404000,NA,63.25,0,181.5,NA,0.21137763073246943,12689160,NA,NA,NA,10958232,86.359,1.7133167390137478,NA,652860
Afghanistan,AFG,1976,NA,NA,NA,58.278957203688385,380480,530,0.6700379266750948,75.49684918267516,7954.046042489925,82.88639491945361,2706.7654650000004,39.39018431128994,1.7529937307139698,NA,NA,NA,12.115920718071257,0.6111367661501003,7910000,NA,50.803,4624000,1362.4,NA,100.35,23.508,NA,NA,NA,NA,NA,82.47,NA,NA,197.44550755114457,652860,3394000,NA,68.93,0,177.6,NA,0.21137763073246943,12943093,NA,NA,NA,11121482,85.926,1.4787598684848264,NA,652860
Afghanistan,AFG,1977,NA,NA,NA,58.28202064761204,380500,515,0.6510745891276865,74.42066872053698,7781.350700750626,81.96774426036737,2679.509986,36.83645011945652,1.311936216819386,NA,NA,NA,12.115920718071257,0.6005478879619075,7910000,327,50.678,4147000,1224,NA,84.11,22.92,NA,NA,NA,NA,NA,73.71,NA,NA,224.22479728113353,652860,3388000,NA,68.44,0,173.5,-1153959,0.21444107465612844,13171306,NA,NA,NA,11259228,85.483,1.2309505758625938,NA,652860
Afghanistan,AFG,1978,NA,NA,NA,58.28202064761204,380500,495,0.6257901390644753,74.36700656809639,7719.369648774973,80.8986985925098,2647.748068,NA,NA,NA,NA,NA,12.115920718071257,0.5929002777711567,7910000,NA,50.555,4382000,1291.9,NA,93.76,22.324,NA,NA,NA,NA,NA,79.71,NA,NA,247.35410634703786,652860,3392000,NA,69.24,0,169.4,NA,0.21444107465612844,13341198,NA,NA,NA,11343620,85.027,0.7467412262111744,NA,652860
Afghanistan,AFG,1979,NA,NA,NA,58.28048892565022,380490,450,0.5689001264222503,74.11123597089657,7541.707594870378,80.14178407830656,2576.1937129999997,NA,NA,NA,NA,NA,12.115920718071257,0.5898118686552349,7910000,NA,50.436,4214000,1323.7,NA,90.68,21.72,NA,NA,NA,NA,NA,78.74,NA,NA,275.7381976192616,652860,3183500,18.1576805114746,69.8,0,165.3,NA,0.21290935269429892,13411056,NA,NA,NA,11340121,84.55799999999999,-0.03085029076775063,NA,652860
Afghanistan,AFG,1980,NA,NA,NA,58.28048892565022,380490,400,0.5056890012642226,71.80096757922493,7450.4992018258545,79.99198076595422,2619.758168,NA,NA,NA,NA,NA,12.115920718071257,0.5922205282502294,7910000,NA,50.321,4072000,1349,NA,88.5,21.109,NA,NA,NA,NA,NA,78.64,NA,NA,272.65528565023186,652860,3018500,NA,70.84,0,161,NA,0.21290935269429892,13356511,NA,NA,NA,11220137,84.005,-1.0636858077997775,NA,652860
Afghanistan,AFG,1981,NA,NA,NA,58.286615813497534,380530,350,0.4424778761061947,71.74905334619207,7393.5964492184,79.3217752605778,2583.276221,NA,NA,NA,NA,NA,12.115920718071257,0.6005311550021019,7910000,NA,50.21,3893000,1338.3,NA,86.07,20.49,NA,NA,NA,NA,NA,78.45,NA,NA,264.1113174530608,652860,2909000,NA,72.86,0,156.8,NA,0.21903624054161688,13171673,NA,NA,NA,10990181,83.438,-2.0707872561033214,NA,652860
Afghanistan,AFG,1982,NA,NA,NA,58.288147535459366,380540,300,0.37926675094816686,71.41615633342674,7327.154807496916,79.5205286351821,2645.9048390000003,NA,NA,NA,NA,NA,12.115920718071257,0.6140099210341324,7910000,327,50.098,3724000,1330.2,NA,83.54,19.865,NA,NA,NA,NA,NA,77.6,NA,NA,NA,652860,2799500,NA,73.31,NA,152.5,-3345095,0.22056796250344637,12882528,NA,NA,NA,10673561,82.85300000000001,-2.9232488706195094,NA,652860
Afghanistan,AFG,1983,NA,NA,NA,58.288147535459366,380540,250,0.31605562579013907,69.56228399152086,6857.477780797723,78.26642621038306,2495.650226,NA,NA,NA,NA,NA,12.115920718071257,0.6308957044058214,7910000,NA,49.984,3591000,1355.6,NA,81.27,19.24,NA,NA,NA,NA,NA,75.83,NA,NA,NA,652860,2649000,NA,71.89,NA,148.4,NA,0.22056796250344637,12537730,NA,NA,NA,10312659,82.253,-3.4397579367698583,NA,652860
Afghanistan,AFG,1984,NA,NA,NA,58.288147535459366,380540,200,0.2528445006321113,65.94172060809579,5970.792005040945,77.60837262133387,2376.4864119999997,NA,NA,NA,NA,NA,12.115920718071257,0.6481326405497345,7910000,NA,49.865,3418000,1334.1,NA,79.53,18.618,NA,NA,NA,NA,NA,72.97,NA,NA,NA,652860,2562000,NA,68.09,NA,144.3,NA,0.22056796250344637,12204292,NA,NA,NA,9962974,81.635,-3.449654832017078,NA,652860
Afghanistan,AFG,1985,NA,NA,NA,58.288147535459366,380540,150,0.18963337547408343,63.81921502073386,5302.553500349215,76.16075174437053,2180.129622,NA,NA,NA,NA,NA,12.115920718071257,0.6625785042445231,7910000,NA,49.735,3242000,1331.7,NA,76.18,18.005,NA,NA,NA,NA,NA,68.18,NA,NA,NA,652860,2434500,NA,61.16,NA,140.3,NA,0.22056796250344637,11938208,NA,NA,NA,9670307,81.003,-2.9815564769115466,NA,652860
Afghanistan,AFG,1986,NA,NA,NA,58.288147535459366,380540,150,0.18963337547408343,59.26647951164077,4394.6627956197235,72.93818973671765,1835.783048,NA,NA,NA,NA,NA,12.115920718071257,0.6739842669407139,7910000,NA,49.586,3084000,1314,NA,72.8,17.406,NA,NA,NA,NA,NA,62.19,NA,NA,NA,652860,2347000,NA,51.88,NA,136.2,NA,0.22056796250344637,11736179,NA,NA,NA,9430372,80.35300000000001,-2.512451219878179,NA,652860
Afghanistan,AFG,1987,NA,NA,NA,58.274362037802895,380450,120,0.15170670037926676,63.60143663042497,4760.688374516906,73.93838924573551,1979.410016,NA,NA,NA,NA,99,12.115920718071257,0.6816301283618972,7910000,327,49.418,3394000,1359.8,NA,73.32,16.826,NA,NA,NA,NA,NA,64.5,NA,NA,NA,652860,2496000,NA,55.41,NA,132.2,-1525351,0.20678246484698098,11604534,NA,NA,NA,9247189,79.686,-1.9615930987746606,NA,652860
Afghanistan,AFG,1988,NA,NA,NA,58.26670342799375,380400,120,0.15170670037926676,63.812892121967934,5054.15335086859,74.18973102454909,2056.572581,NA,NA,NA,NA,NA,12.115920718071257,0.6808397827337827,7910000,NA,49.236,2997000,1285.7,NA,69.79,16.268,NA,NA,NA,NA,NA,63.55,NA,NA,NA,652860,2331000,NA,57.94,NA,128.2,NA,0.1991238550378335,11618005,NA,NA,NA,9178456,79.002,-0.7460614682491431,NA,652860
Afghanistan,AFG,1989,NA,NA,NA,58.26670342799375,380400,120,0.15170670037926676,66.47513563067814,4962.3954648843755,73.87512891931497,2047.306619,NA,NA,NA,NA,NA,12.115920718071257,0.6664488982403306,7910000,NA,49.048,2834000,1237.6,NA,66.86,15.738,NA,NA,NA,NA,NA,63.18,NA,NA,NA,652860,2290000,NA,60.21,NA,124.2,NA,0.1991238550378335,11868877,NA,NA,NA,9365968,78.912,2.022369537677886,NA,652860
Afghanistan,AFG,1990,NA,NA,NA,58.26670342799375,380400,120,0.15170670037926676,65.9226956393858,5028.306348050663,73.07531288246673,2008.253191,NA,NA,NA,NA,NA,12.115920718071257,0.6372706832605185,7910000,NA,48.88,2705000,1200.6,NA,66.64,15.241,NA,NA,NA,NA,NA,68.12,2.0678246484698097,13500,NA,652860,2253000,NA,70.69,NA,120.4,NA,0.1991238550378335,12412308,NA,NA,NA,9783754,78.82300000000001,4.364056083578668,NA,652860
Afghanistan,AFG,1991,NA,NA,NA,58.25138620837546,380300,120,0.15170670037926676,65.04056350161717,5009.4762333453555,72.83540682881177,2007.266461,NA,NA,NA,NA,NA,12.115920718071257,0.5947808022201941,7910000,NA,48.763,2721302,1160.4,NA,77.29,14.783,63.7809982299805,76.7819976806641,61.4710006713867,NA,NA,74.24,2.0678246484698097,13500,NA,652860,2345071,NA,72.21,NA,116.8,NA,0.18380663541953865,13299017,NA,NA,NA,10470848,78.73400000000001,6.78717599388773,NA,652860
Afghanistan,AFG,1992,NA,NA,NA,58.25138620837546,380300,110,0.1390644753476612,68.35616838458274,5048.465322893874,72.35472197614642,1967.3343690000002,NA,NA,NA,NA,NA,12.115920718071257,0.5460615706166685,7910000,327,48.709,2470000,1097.8,NA,72.81,14.362,63.9599990844727,76.9540023803711,61.6660003662109,NA,NA,71.75,2.0678246484698097,13500,NA,652860,2250000,NA,71.79,NA,113.3,3076383,0.18380663541953865,14485546,NA,NA,NA,11392158,78.645,8.433020903856828,NA,652860
Afghanistan,AFG,1993,NA,NA,NA,58.10434090003983,379340,110,0.14059304703476483,68.29354423628344,5104.867308763528,72.39980256995209,2003.0497169999999,NA,NA,NA,NA,NA,11.98419262935392,0.4946700628447208,7824000,NA,48.717,2981774,1132.9,NA,77.56,13.974,64.7279968261719,77.6579971313477,62.4609985351563,NA,NA,76.25,2.0678246484698097,13500,NA,652860,2631882,NA,76.43,NA,109.9,NA,0.16848941580124374,15816603,NA,NA,NA,12424891,78.556,8.67765753529342,NA,652860
Afghanistan,AFG,1994,NA,NA,NA,57.91900254265846,378130,110,0.14280150590678956,68.85243874254931,5278.8682816841365,69.78960989924866,1810.640622,NA,NA,NA,NA,NA,11.798854271972552,0.4511081724368163,7703000,NA,48.77,3144000,1140.4,NA,79.99,13.616,65.5419998168945,78.3779983520508,63.3089981079102,NA,NA,81.33,2.0678246484698097,13500,NA,652860,2757000,NA,84.36,NA,106.7,NA,0.16848941580124374,17075727,NA,NA,NA,13398640,78.46600000000001,7.545140996043854,NA,652860
Afghanistan,AFG,1995,NA,NA,NA,57.82709922494868,377530,110,0.14373448320919902,69.53164547213892,5483.15431130012,69.84259620266937,1910.294462,NA,NA,NA,NA,NA,11.722268173881076,0.4225688775398927,7653000,NA,48.835,3242179,1214.5,NA,81.43,13.282,64.5579986572266,77.8290023803711,62.2560005187988,NA,NA,85.33,2.0678246484698097,13500,NA,652860,2669450,NA,91.21,NA,103.7,NA,0.15317219618294886,18110657,NA,NA,NA,14194409,78.376,5.769494541106139,NA,652860
Afghanistan,AFG,1996,NA,NA,NA,57.825567502986864,377520,110,0.14384726036354126,71.75266177795017,6179.109623799379,70.90682570319629,2090.9052979999997,NA,NA,NA,NA,NA,11.713077842110101,0.4056024373699077,7647000,NA,48.87,3241915,1204.4,NA,82.57,12.964,64.8840026855469,78.2630004882813,62.5810012817383,NA,NA,90.71,2.0678246484698097,13500,NA,652860,2691670,NA,100.89,NA,100.8,NA,0.16083080599209632,18853437,NA,NA,NA,14759602,78.286,3.9045699359225265,NA,652860
Afghanistan,AFG,1997,NA,NA,NA,57.883772937536385,377900,110,0.1431359791802212,73.12570008663734,6737.509503182418,72.15472804245191,2293.074371,NA,NA,NA,NA,NA,11.77128327665962,0.3970114158475799,7685000,327,48.833,3682723,1348.8,NA,86.38,12.655,65.129997253418,78.6279983520508,62.8330001831055,NA,NA,97.24,2.0678246484698097,13500,NA,652860,2730401,NA,110.19,NA,98.1,-867540,0.16083080599209632,19357126,NA,NA,NA,15136305,78.195,2.5202308701627767,NA,652860
Afghanistan,AFG,1998,NA,NA,NA,58.00171552859725,378670,110,0.14180739976795154,73.88122701558876,7166.604618598036,74.90564009077717,2496.6019879999994,NA,NA,NA,NA,NA,11.881567257911344,0.3930029565150867,7757000,NA,48.688,3875506,1388,NA,90.73,12.348,65.306999206543,78.9489974975586,62.9980010986328,NA,NA,103.45,2.0678246484698097,13500,NA,652860,2792105,NA,117.91,NA,95.3,NA,0.16848941580124374,19737765,NA,NA,NA,15416181,78.105,1.8321509350650713,NA,652860
Afghanistan,AFG,1999,NA,NA,NA,57.82709922494868,377530,110,0.14373448320919902,74.66587261416883,7694.990165743625,75.93980808802638,2734.2560759,NA,NA,NA,NA,NA,11.722268173881076,0.3794090123348334,7653000,NA,48.419,3256396,1285.7,NA,84.21,12.037,65.5350036621094,79.3369979858398,63.2050018310547,NA,NA,102.3,2.0678246484698097,13500,NA,652860,2532871,NA,123.59,NA,92.7,NA,0.15317219618294886,20170844,NA,NA,NA,15736082,78.014,2.0538619962969222,NA,652860
Afghanistan,AFG,2000,NA,NA,NA,57.82709922494868,377530,110,0.1431732396199401,71.20957546895058,6682.434739242166,72.38037827379283,2400.5430165,NA,NA,NA,NA,98.62,11.768219832735962,0.3697313463606005,7683000,NA,48.021,1940000,806.3,NA,70.15,11.718,65.8970031738281,79.8690032958984,63.5439987182617,NA,NA,86.04,2.0678246484698097,13500,NA,652860,2406000,NA,104.47,NA,90.2,NA,0.10722053732806422,20779953,NA,NA,NA,16192155,77.922,2.857057363332574,NA,652860
Afghanistan,AFG,2001,NA,NA,5.668423701427701,57.82709922494868,377530,NA,NA,67.47255477436697,5847.508959520513,72.53777945558102,2218.8537835,NA,NA,NA,NA,NA,11.768219832735962,0.3555794079211781,7683000,NA,47.505,2108000,1006.7,NA,72.45,11.387,66.4039993286133,80.6520004272461,63.9830017089844,NA,NA,77.42,2.0678246484698097,13500,NA,652860,2094000,NA,83.38,NA,87.6,NA,0.10722053732806422,21606988,NA,NA,NA,16816935,77.831,3.7859548708978066,NA,652860
Afghanistan,AFG,2002,NA,NA,4.6221492331735226,57.82709922494868,377530,NA,NA,69.32334352351717,6883.412868827171,73.27411602057688,2472.7522836999997,NA,NA,38.62789186384426,1566430377.7743149,NA,11.760561222926814,0.33972293864324093,7678000,327,46.901,3737000,1669.8,NA,87.82,11.048,64.318000793457,79.2979965209961,61.7550010681152,111.60416844622875,3.403360250065121,95.55,2.0678246484698097,13500,179.42661096722873,652860,2238000,NA,103.58,0,84.9,744193,0.11487914713721166,22600770,NA,NA,NA,17569613,77.739,4.378446137876146,NA,652860
Afghanistan,AFG,2003,NA,NA,7.259298338169348,58.06757957295592,379100,NA,NA,68.6130608787632,7101.863479317265,72.32078552318669,2413.4082552,NA,NA,37.41885544314814,1689670422.8570032,NA,11.904543087338785,0.3281973876721004,7772000,NA,46.231,4381000,1458,NA,97.29,10.704,63.6479988098145,78.9720001220703,60.9889984130859,157.06528446254472,3.275090066906845,98.77,2.0678246484698097,13500,190.68381429508835,652860,3004700,NA,97.99,0,82.3,NA,0.21137763073246943,23680871,NA,NA,NA,18387486,77.64699999999999,4.549944876501881,NA,652860
Afghanistan,AFG,2004,NA,NA,5.5023607923821585,58.06911129491774,379110,NA,NA,67.20927815155808,7071.356991438031,71.96943989791106,2412.682632,NA,NA,29.721067137695695,1553454438.929669,NA,11.971938853659283,0.3160957611623136,7816000,NA,45.507,3560000,1334.8,NA,87.09,10.356,63.2980003356934,79.2710037231445,60.4959983825684,182.18727515674786,4.535568065506653,96.05,2.0678246484698097,13500,211.38211694265547,652860,2667000,NA,105.03,0,79.6,NA,0.14551358637380143,24726684,NA,NA,NA,19163180,77.5,4.132040500307784,NA,652860
Afghanistan,AFG,2005,23,8.02072361523604,5.840147718280138,58.06757957295592,379100,NA,NA,66.08909714765983,7070.674236536683,71.98337664461731,2455.8827750000005,NA,NA,31.11485491206199,1931964163.238002,NA,11.955089912079158,0.3042377690082632,7805000,NA,44.723,5425000,1790.4,NA,109.23,10.003,62.2449989318848,78.4909973144531,59.3619995117188,211.7330944917152,4.2403587443946185,106.32,2.0678246484698097,13500,242.03128487198506,652860,3030000,NA,103.31,0,77,NA,0.16083080599209632,25654277,NA,NA,NA,19829986,77.297,3.4204506986914525,NA,652860
Afghanistan,AFG,2006,28.5609741210938,13.1684457435928,6.085465576365076,58.06757957295592,379100,NA,NA,64.89608212544623,7054.13923095388,71.67053745928338,2455.5186179999996,NA,NA,28.63596858446855,1996295152.8261826,NA,11.938240970499034,0.29485815276171884,7794000,NA,43.87,4638000,1551.7,2,103.68,9.645,61.4539985656738,78.004997253418,58.5390014648438,278.02222726241774,6.290993071593533,97.63,2.0678246484698097,13500,263.7336916630437,652860,2989000,NA,91.66,0,74.3,NA,0.1776797475722207,26433049,NA,NA,NA,20378030,77.093,2.726212319643912,NA,652860
Afghanistan,AFG,2007,34.253246307373,19.8682661958702,5.940385122658929,58.06757957295592,379100,NA,NA,63.75874897836537,7045.1504858624385,71.50359991781825,2481.4301849999997,NA,NA,30.105011357401263,2934600240.1731815,NA,11.938240970499034,0.2875957877733488,7794000,327,42.944,5786000,1915.3,2,121.25,9.287,60.1839981079102,76.6480026245117,57.3320007324219,166.17569080304014,3.6188093405183475,108.92,2.0678246484698097,13500,359.6932375013951,652860,3021000,NA,94.8,0,71.7,-1046361,0.1776797475722207,27100536,NA,NA,NA,20836789,76.887,2.226276659212113,NA,652860
Afghanistan,AFG,2008,42.4,27.9542507444805,5.779477710366658,58.06757957295592,379100,NA,NA,62.651442782665846,7032.248543697545,71.2500531848884,2491.781085,5.033139548600832,0.0023709707384265413,24.892270005974172,2516415785.052269,NA,11.938240970499034,0.28114574719622587,7794000,NA,41.949,3950000,1455.4,2,102.9,8.932,59.2939987182617,76.1539993286133,56.3720016479492,151.97729052466718,2.9880677444187835,100.53,2.0678246484698097,13500,364.66074479849954,652860,2714000,NA,98.86,0,69,NA,0.1776797475722207,27722276,NA,NA,NA,21257441,76.68,1.9986872463948746,NA,652860
